epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5959.97,0.85235,0.46839,0.00173,0.52956,0.49496,0.49198,0.3509,1.17869,2.12735,0.00379,0.000955072,0.000955072,0.000955072
43,6102.04,0.83866,0.45759,0.00173,0.53732,0.48439,0.51158,0.37514,1.10639,2.21924,0.00354,0.000952889,0.000952889,0.000952889
44,6244.93,0.83444,0.44338,0.0017,0.57063,0.47845,0.48883,0.3548,1.15754,2.30353,0.00376,0.000950658,0.000950658,0.000950658
45,6387.06,0.8395,0.45863,0.0017,0.55608,0.48672,0.49871,0.36447,1.14004,2.19626,0.00373,0.000948377,0.000948377,0.000948377
46,6529.93,0.83267,0.43793,0.0017,0.5528,0.46395,0.5135,0.37366,1.13875,2.16481,0.0037,0.000946048,0.000946048,0.000946048
47,6672.57,0.81438,0.42829,0.00165,0.50975,0.49799,0.47682,0.34583,1.13716,2.34605,0.00364,0.000943671,0.000943671,0.000943671
48,6815.43,0.8234,0.43713,0.00167,0.61168,0.47418,0.47114,0.33804,1.15306,2.42987,0.00372,0.000941245,0.000941245,0.000941245
49,6957.92,0.80799,0.43472,0.00165,0.5345,0.49867,0.49364,0.36142,1.14814,2.25883,0.00378,0.000938772,0.000938772,0.000938772
50,7100.55,0.80919,0.43289,0.00165,0.47806,0.52445,0.49292,0.35696,1.14075,2.2191,0.00369,0.000936251,0.000936251,0.000936251
51,7243.13,0.81072,0.41566,0.00164,0.51228,0.48903,0.48131,0.35061,1.13853,2.23976,0.00369,0.000933683,0.000933683,0.000933683
52,7385.08,0.79271,0.40769,0.00161,0.56641,0.44511,0.48474,0.35591,1.1075,2.40441,0.00355,0.000931067,0.000931067,0.000931067
53,7527.75,0.8062,0.42305,0.00164,0.55918,0.45689,0.48557,0.36013,1.12059,2.31039,0.00364,0.000928405,0.000928405,0.000928405
54,7670.54,0.79984,0.42038,0.00161,0.46096,0.50282,0.45706,0.34196,1.11807,2.39387,0.00362,0.000925697,0.000925697,0.000925697
55,7813.66,0.79533,0.40671,0.0016,0.53022,0.47322,0.48062,0.35373,1.10905,2.32698,0.00358,0.000922942,0.000922942,0.000922942
56,7956.5,0.79957,0.40816,0.00162,0.4967,0.48759,0.47822,0.35514,1.09988,2.3231,0.00355,0.000920142,0.000920142,0.000920142
57,8095.55,0.79416,0.40863,0.00163,0.51273,0.48533,0.49429,0.36088,1.11621,2.17803,0.00356,0.000917296,0.000917296,0.000917296
58,8233.15,0.7811,0.40227,0.00158,0.55027,0.48907,0.51894,0.37887,1.12956,2.2384,0.00365,0.000914405,0.000914405,0.000914405
59,8370.03,0.77843,0.39479,0.00157,0.5521,0.49171,0.49012,0.35779,1.10547,2.42311,0.00354,0.000911469,0.000911469,0.000911469
60,8507.34,0.77845,0.38835,0.00158,0.52581,0.51365,0.51749,0.38004,1.09651,2.22256,0.00355,0.000908488,0.000908488,0.000908488
61,8644.11,0.77571,0.40278,0.00158,0.55742,0.50318,0.53014,0.38867,1.09693,2.10449,0.00351,0.000905463,0.000905463,0.000905463
62,8783.15,0.77822,0.40152,0.00157,0.50989,0.48345,0.48694,0.36253,1.08734,2.24215,0.0035,0.000902395,0.000902395,0.000902395
63,8920.88,0.78955,0.40872,0.00158,0.52864,0.4965,0.49254,0.36214,1.13092,2.29409,0.00372,0.000899282,0.000899282,0.000899282
64,9058.2,0.77969,0.39637,0.00158,0.54803,0.49355,0.50535,0.37517,1.1293,2.33353,0.00367,0.000896127,0.000896127,0.000896127
65,9195.12,0.76815,0.39811,0.00156,0.57788,0.48134,0.50284,0.37364,1.11187,2.26748,0.0036,0.000892928,0.000892928,0.000892928
66,9332.44,0.77839,0.39542,0.00159,0.52758,0.49919,0.48944,0.36022,1.11627,2.32978,0.00362,0.000889687,0.000889687,0.000889687
67,9469.48,0.75937,0.38556,0.00154,0.58109,0.47476,0.49408,0.36664,1.10095,2.37201,0.00352,0.000886404,0.000886404,0.000886404
68,9606.82,0.7536,0.3746,0.00151,0.56675,0.47154,0.49756,0.36604,1.11087,2.32783,0.00357,0.000883079,0.000883079,0.000883079
69,9748.15,0.76697,0.39145,0.00155,0.52841,0.48107,0.48978,0.35833,1.12989,2.40582,0.00365,0.000879713,0.000879713,0.000879713
70,9890.88,0.7637,0.3874,0.00152,0.56241,0.43025,0.46904,0.352,1.09994,2.40258,0.00352,0.000876305,0.000876305,0.000876305
71,10033.5,0.76743,0.39748,0.00155,0.6209,0.40123,0.46643,0.3435,1.11433,2.56032,0.00358,0.000872857,0.000872857,0.000872857
72,10175.7,0.7685,0.3916,0.00155,0.56088,0.47394,0.49498,0.37104,1.10342,2.41031,0.00356,0.000869368,0.000869368,0.000869368
73,10318.4,0.75657,0.38838,0.00151,0.57353,0.44147,0.47468,0.35116,1.12649,2.40701,0.00368,0.000865839,0.000865839,0.000865839
74,10461.3,0.74948,0.37333,0.00151,0.55706,0.43827,0.47514,0.35367,1.10651,2.48777,0.0036,0.000862271,0.000862271,0.000862271
75,10604.3,0.74028,0.36628,0.00149,0.53237,0.50232,0.51344,0.37956,1.10952,2.26631,0.00362,0.000858664,0.000858664,0.000858664
76,10746.8,0.75285,0.37738,0.00152,0.59167,0.45602,0.51204,0.37711,1.12852,2.30044,0.0037,0.000855018,0.000855018,0.000855018
