epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2353.82,0.7795,0.4087,0.00154,0.50717,0.39186,0.32865,0.22935,1.31855,2.11365,0.00659,0.000935741,0.000935741,0.000935741
43,2408.9,0.7775,0.38741,0.00155,0.45423,0.37595,0.32689,0.23858,1.22486,2.17647,0.00613,0.000932642,0.000932642,0.000932642
44,2464.45,0.75235,0.38641,0.00153,0.50356,0.28503,0.28061,0.19954,1.2413,2.63934,0.00617,0.000929476,0.000929476,0.000929476
45,2520.2,0.75293,0.3749,0.00153,0.44479,0.3108,0.28983,0.20608,1.25535,2.47501,0.00675,0.000926242,0.000926242,0.000926242
46,2575.86,0.76742,0.39303,0.00154,0.45135,0.37265,0.33275,0.24463,1.22107,2.10985,0.00686,0.000922942,0.000922942,0.000922942
47,2630.94,0.76083,0.38186,0.0015,0.48658,0.44067,0.36784,0.27045,1.1698,1.81216,0.00537,0.000919576,0.000919576,0.000919576
48,2686.48,0.76184,0.39666,0.00152,0.48503,0.38277,0.33022,0.23775,1.22736,2.07334,0.00529,0.000916145,0.000916145,0.000916145
49,2742.17,0.76509,0.39613,0.00155,0.45564,0.39271,0.33488,0.23002,1.29057,2.05524,0.00561,0.000912649,0.000912649,0.000912649
50,2797.36,0.75904,0.39381,0.00153,0.47605,0.33664,0.32048,0.22882,1.24235,2.26939,0.00572,0.000909088,0.000909088,0.000909088
51,2852.89,0.73637,0.38512,0.00147,0.46829,0.31311,0.29621,0.2178,1.2021,2.398,0.00593,0.000905463,0.000905463,0.000905463
52,2908.49,0.76242,0.39721,0.00152,0.45473,0.41747,0.34042,0.24054,1.2432,1.93424,0.00548,0.000901776,0.000901776,0.000901776
53,2963.55,0.72809,0.37225,0.00145,0.43408,0.34514,0.30197,0.22154,1.1818,2.30756,0.00513,0.000898025,0.000898025,0.000898025
