epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2262.01,0.92033,0.52047,0.00169,0.54841,0.59148,0.54283,0.40807,1.10724,2.54886,0.00504,0.000935741,0.000935741,0.000935741
43,2315.23,0.90417,0.50544,0.00168,0.5018,0.45527,0.38416,0.29303,1.21043,3.45367,0.00573,0.000932642,0.000932642,0.000932642
44,2368.01,0.93431,0.51199,0.00172,0.42782,0.5938,0.48996,0.3509,1.21601,2.89895,0.00583,0.000929476,0.000929476,0.000929476
45,2421.29,0.91192,0.4982,0.00171,0.46657,0.54169,0.45479,0.31658,1.37953,2.85554,0.00658,0.000926242,0.000926242,0.000926242
46,2474.59,0.93003,0.51173,0.0017,0.46888,0.58753,0.48806,0.35679,1.21806,2.85633,0.00593,0.000922942,0.000922942,0.000922942
47,2527.4,0.91501,0.50233,0.0017,0.74491,0.48538,0.5845,0.42891,1.16699,2.16807,0.00548,0.000919576,0.000919576,0.000919576
48,2580.77,0.89698,0.478,0.00165,0.75501,0.45721,0.57778,0.4331,1.10576,2.27551,0.00507,0.000916145,0.000916145,0.000916145
49,2633.68,0.92662,0.49469,0.00171,0.71069,0.43709,0.49676,0.37503,1.10197,2.69902,0.00508,0.000912649,0.000912649,0.000912649
50,2686.95,0.90115,0.46443,0.00165,0.80264,0.41896,0.56064,0.40107,1.20958,2.44205,0.00576,0.000909088,0.000909088,0.000909088
51,2740.19,0.91034,0.47686,0.00166,0.67446,0.50866,0.55016,0.4051,1.16728,2.50407,0.00549,0.000905463,0.000905463,0.000905463
52,2793.59,0.90376,0.48206,0.00166,0.67299,0.3859,0.45032,0.30622,1.45024,2.60592,0.00675,0.000901776,0.000901776,0.000901776
53,2846.56,0.91488,0.50011,0.00169,0.72877,0.52806,0.6116,0.45252,1.14125,2.00526,0.00522,0.000898025,0.000898025,0.000898025
54,2899.76,0.88347,0.49905,0.00161,0.74093,0.54837,0.6342,0.47445,1.08413,1.88132,0.00494,0.000894213,0.000894213,0.000894213
55,2953.23,0.8852,0.4844,0.00162,0.44486,0.66527,0.54623,0.4035,1.16078,2.45608,0.00554,0.000890339,0.000890339,0.000890339
56,3006.08,0.87352,0.4701,0.0016,0.78316,0.44915,0.57145,0.42602,1.17399,2.36312,0.00534,0.000886404,0.000886404,0.000886404
57,3059.49,0.86306,0.46657,0.00162,0.45024,0.6219,0.49712,0.38047,1.0968,2.74101,0.00513,0.000882409,0.000882409,0.000882409
58,3112.89,0.85196,0.44888,0.00157,0.77706,0.48945,0.58736,0.43083,1.16744,2.24403,0.00566,0.000878354,0.000878354,0.000878354
59,3165.77,0.83814,0.44889,0.00156,0.47585,0.66752,0.55691,0.42157,1.09098,2.50659,0.00513,0.000874241,0.000874241,0.000874241
60,3219.16,0.83378,0.45624,0.00154,0.74282,0.45961,0.56646,0.40237,1.24667,2.2768,0.00608,0.000870069,0.000870069,0.000870069
61,3272.5,0.82358,0.44114,0.00151,0.7452,0.47771,0.55369,0.40824,1.14775,2.3123,0.00549,0.000865839,0.000865839,0.000865839
62,3325.22,0.80514,0.45572,0.00149,0.74724,0.50843,0.5816,0.4326,1.1023,2.32828,0.0051,0.000861553,0.000861553,0.000861553
63,3378.44,0.79739,0.43962,0.00148,0.77835,0.45978,0.58477,0.4317,1.14414,2.31344,0.00545,0.00085721,0.00085721,0.00085721
64,3431.73,0.80168,0.44131,0.00148,0.74647,0.46622,0.54255,0.41299,1.07654,2.57764,0.00513,0.000852812,0.000852812,0.000852812
65,3484.61,0.81368,0.4415,0.00148,0.7444,0.46137,0.55174,0.3963,1.26793,2.28749,0.0061,0.000848358,0.000848358,0.000848358
66,3537.9,0.81395,0.43102,0.0015,0.46694,0.57728,0.48057,0.35894,1.13706,2.81827,0.00523,0.000843851,0.000843851,0.000843851
67,3591.26,0.80613,0.42709,0.00148,0.44704,0.62791,0.50569,0.36848,1.14831,2.67995,0.00536,0.00083929,0.00083929,0.00083929
68,3644.22,0.7943,0.42553,0.00145,0.50625,0.62512,0.52848,0.38267,1.18285,2.6527,0.00543,0.000834676,0.000834676,0.000834676
69,3697.51,0.7942,0.41584,0.00149,0.47166,0.65587,0.56828,0.4203,1.11695,2.45111,0.0051,0.00083001,0.00083001,0.00083001
70,3750.87,0.78909,0.42587,0.00144,0.47132,0.6389,0.54018,0.39585,1.13428,2.57423,0.00532,0.000825293,0.000825293,0.000825293
71,3803.73,0.80588,0.43498,0.00146,0.54683,0.58863,0.51752,0.38293,1.1619,2.76744,0.00542,0.000820525,0.000820525,0.000820525
72,3857.09,0.79351,0.43174,0.00146,0.79464,0.44103,0.54509,0.39886,1.16523,2.4787,0.00562,0.000815707,0.000815707,0.000815707
73,3910.39,0.79983,0.43404,0.00145,0.5505,0.56948,0.4742,0.33768,1.24099,2.94292,0.00568,0.000810841,0.000810841,0.000810841
74,3963.29,0.79197,0.43353,0.00146,0.78024,0.42439,0.54699,0.41165,1.11937,2.39839,0.0052,0.000805925,0.000805925,0.000805925
75,4016.61,0.7697,0.41873,0.00142,0.5023,0.68152,0.56883,0.41454,1.15419,2.40583,0.00547,0.000800963,0.000800963,0.000800963
76,4069.92,0.80635,0.42978,0.00147,0.50992,0.58318,0.48264,0.34209,1.24191,2.89188,0.00584,0.000795954,0.000795954,0.000795954
77,4122.86,0.7876,0.41469,0.00142,0.48438,0.59618,0.49341,0.34434,1.30456,2.83311,0.00615,0.000790898,0.000790898,0.000790898
78,4176.05,0.78651,0.42111,0.00145,0.59943,0.50187,0.43304,0.31737,1.15919,3.31628,0.00565,0.000785798,0.000785798,0.000785798
79,4229.39,0.7553,0.40383,0.00138,0.49585,0.57877,0.49365,0.363,1.178,2.81789,0.00522,0.000780653,0.000780653,0.000780653
80,4282.07,0.7804,0.40855,0.00141,0.59218,0.47331,0.40417,0.29317,1.20999,3.48024,0.00554,0.000775465,0.000775465,0.000775465
81,4335.45,0.77509,0.38635,0.00141,0.54396,0.56343,0.48888,0.36127,1.17342,2.93749,0.00568,0.000770234,0.000770234,0.000770234
82,4388.7,0.75278,0.37427,0.00138,0.59184,0.53348,0.47367,0.35516,1.1384,2.99386,0.00526,0.000764961,0.000764961,0.000764961
83,4441.53,0.76461,0.41005,0.0014,0.5693,0.50342,0.42009,0.307,1.2066,3.27738,0.00581,0.000759648,0.000759648,0.000759648
84,4494.82,0.76966,0.429,0.0014,0.7621,0.47847,0.54302,0.39889,1.15628,2.55484,0.00551,0.000754293,0.000754293,0.000754293
85,4548.14,0.74785,0.39428,0.00137,0.5338,0.64064,0.56127,0.43056,1.07014,2.52692,0.00502,0.0007489,0.0007489,0.0007489
86,4600.99,0.7661,0.4023,0.0014,0.57251,0.59715,0.52593,0.40058,1.10061,2.71276,0.00523,0.000743468,0.000743468,0.000743468
87,4654.29,0.76497,0.38549,0.00137,0.50559,0.6945,0.60023,0.4539,1.06254,2.32682,0.00492,0.000737998,0.000737998,0.000737998
88,4707.73,0.75613,0.3927,0.00138,0.46321,0.627,0.52143,0.36157,1.30365,2.66663,0.00618,0.000732492,0.000732492,0.000732492
89,4760.58,0.77175,0.39364,0.00141,0.58562,0.56648,0.50161,0.37141,1.10728,2.94755,0.00518,0.00072695,0.00072695,0.00072695
90,4813.88,0.75437,0.37622,0.0014,0.52825,0.63361,0.55291,0.40551,1.14776,2.63727,0.00536,0.000721372,0.000721372,0.000721372
91,4867.21,0.78375,0.40645,0.00144,0.59312,0.58452,0.50552,0.37584,1.13741,2.87238,0.00527,0.000715761,0.000715761,0.000715761
92,4920.04,0.74146,0.3731,0.00133,0.55827,0.54903,0.46724,0.33805,1.2187,2.98369,0.0056,0.000710116,0.000710116,0.000710116
93,4973.35,0.74022,0.37252,0.00135,0.50913,0.60209,0.52604,0.39991,1.08694,2.65372,0.00503,0.000704439,0.000704439,0.000704439
94,5026.59,0.73541,0.37488,0.00133,0.57489,0.59989,0.52509,0.395,1.1393,2.66856,0.00548,0.00069873,0.00069873,0.00069873
